,threads,size,nproma,repetition,execution_time
560,1,4096,16,3,711
561,16,131072,16,16,2778
562,32,8192,16,14,66
563,1,131072,16,9,22535
564,16,262144,16,6,5505
565,8,262144,16,3,7545
566,32,131072,16,7,1668
567,4,8192,16,17,423
568,2,65536,16,18,6667
569,1,262144,128,19,43202
570,16,8192,16,14,122
571,32,4096,16,15,40
572,2,8192,16,1,834
573,16,262144,16,16,5523
574,1,262144,64,16,43416
575,1,131072,64,0,21724
576,1,262144,128,7,43280
577,4,65536,16,12,3358
578,8,16384,16,9,442
579,8,32768,16,6,873
580,1,4096,16,14,710
581,4,16384,16,15,846
582,1,262144,128,0,43263
583,1,131072,64,7,21745
584,1,262144,64,11,43451
585,4,65536,16,15,3363
586,2,4096,16,18,419
587,8,32768,16,1,871
588,16,32768,16,18,477
589,1,4096,16,13,710
590,4,16384,16,12,849
591,4,4096,16,9,213
592,16,262144,16,1,5465
593,32,131072,16,0,1681
594,8,262144,16,4,7541
595,4,8192,16,10,424
596,16,8192,16,13,122
597,32,4096,16,12,38
598,2,8192,16,6,833
599,2,16384,16,18,1676
600,16,262144,16,11,5504
601,1,131072,64,9,21721
602,8,32768,16,13,871
603,2,4096,16,16,419
604,1,4096,64,3,681
605,8,16384,16,0,447
606,16,32768,16,16,480
607,8,4096,16,2,113
608,4,4096,16,7,213
609,2,262144,16,13,26630
610,2,65536,16,11,6660
611,1,262144,128,10,43258
612,2,8192,16,8,836
613,1,32768,64,15,5430
614,1,32768,128,4,5420
615,2,16384,16,16,1674
616,16,262144,16,8,5450
617,4,8192,16,19,423
618,2,65536,16,16,6662
619,2,262144,16,14,26670
620,32,131072,16,9,1713
621,1,262144,128,17,43229
622,16,262144,16,18,5451
623,1,32768,128,3,5408
624,1,32768,64,12,5433
625,2,16384,16,11,1678
626,1,262144,128,9,43160
627,1,262144,64,18,43461
628,8,32768,16,14,869
629,1,4096,64,4,682
630,8,16384,16,7,442
631,2,4096,16,11,422
632,16,32768,16,11,476
633,8,32768,16,8,873
634,8,4096,16,5,112
635,4,4096,16,0,213
636,2,131072,16,10,13295
637,8,65536,16,4,1819
638,1,65536,64,12,10867
639,1,65536,128,3,10834
640,1,4096,16,9,711
641,1,16384,128,4,2716
642,1,16384,64,15,2720
643,2,32768,16,16,3332
644,1,131072,16,3,22552
645,4,262144,16,5,13473
646,2,8192,16,14,832
647,8,16384,16,13,442
648,16,16384,16,16,241
649,16,8192,16,2,123
650,1,32768,128,12,5418
651,8,65536,16,14,1826
652,16,65536,16,11,1200
653,1,8192,16,18,1412
654,2,8192,16,13,835
655,8,16384,16,14,441
656,1,8192,128,19,1360
657,16,8192,16,5,121
658,16,16384,16,11,241
659,1,32768,128,15,5415
660,8,65536,16,13,1822
661,2,262144,16,8,26641
662,16,65536,16,16,1171
663,16,4096,16,18,70
664,8,65536,16,3,1825
665,2,131072,16,17,13287
666,1,65536,128,4,10803
667,1,65536,64,15,10856
668,32,8192,16,9,66
669,1,16384,64,12,2721
670,1,16384,128,3,2712
671,32,8192,16,19,67
672,4,262144,16,2,13472
673,1,131072,16,4,22545
674,2,32768,16,11,3339
675,1,8192,16,16,1414
676,1,8192,128,17,1360
677,1,131072,64,15,21706
678,1,131072,128,4,21574
679,2,262144,16,6,26655
680,4,32768,16,15,1681
681,16,65536,16,18,1185
682,16,4096,16,16,67
683,2,131072,16,19,13316
684,4,4096,16,15,213
685,32,8192,16,7,71
686,16,131072,16,15,2781
687,1,4096,16,0,715
688,32,8192,16,17,67
689,16,4096,16,11,67
690,4,4096,16,12,213
691,32,8192,16,0,67
692,16,131072,16,12,2797
693,1,4096,16,7,711
694,2,32768,16,18,3328
695,32,8192,16,10,68
696,1,8192,16,11,1414
697,1,8192,128,10,1358
698,16,16384,16,18,242
699,1,131072,128,3,21572
700,1,131072,64,12,21705
701,4,32768,16,12,1680
702,2,262144,16,1,26692
703,1,16384,64,3,2723
704,1,65536,16,10,11271
705,1,262144,64,4,43457
706,4,16384,16,8,846
707,2,65536,16,6,6668
708,1,65536,128,16,10795
709,16,32768,16,4,484
710,4,32768,16,7,1681
711,2,4096,16,2,418
712,1,16384,16,17,2823
713,1,131072,128,15,21644
714,32,262144,16,3,3345
715,8,131072,16,7,3748
716,16,131072,16,2,2783
717,1,8192,64,9,1356
718,8,8192,16,16,218
719,8,8192,16,8,218
720,1,131072,128,12,21627
721,8,131072,16,0,3762
722,32,262144,16,4,3453
723,16,131072,16,5,2750
724,1,131072,16,19,22536
725,8,8192,16,11,219
726,1,16384,64,4,2720
727,1,65536,16,17,11271
728,1,262144,64,3,43428
729,2,65536,16,1,6659
730,16,32768,16,3,489
731,1,65536,128,11,10810
732,4,32768,16,0,1686
